Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,1292.000000,1294.099976,1265.060059,1270.859985,1270.859985,2209300
2020-04-28,1283.199951,1284.760010,1230.380005,1232.589966,1232.589966,4035000
2020-04-29,1345.000000,1360.150024,1326.729980,1342.180054,1342.180054,5417900
2020-04-30,1331.359985,1350.000000,1321.500000,1346.699951,1346.699951,2792100
2020-05-01,1324.089966,1351.430054,1309.660034,1317.319946,1317.319946,2443600
2020-05-04,1308.130005,1324.469971,1296.010010,1322.900024,1322.900024,1540300
2020-05-05,1337.500000,1371.010010,1335.030029,1349.020020,1349.020020,1983300
2020-05-06,1358.000000,1368.689941,1345.130005,1345.430054,1345.430054,1586600
2020-05-07,1361.310059,1376.000000,1352.540039,1369.280029,1369.280029,1532600
2020-05-08,1381.819946,1396.640015,1372.010010,1384.339966,1384.339966,1666300
2020-05-11,1376.790039,1415.530029,1375.500000,1403.589966,1403.589966,1635900
2020-05-12,1408.219971,1414.329956,1374.510010,1375.180054,1375.180054,1695900
2020-05-13,1376.160034,1385.329956,1328.010010,1348.329956,1348.329956,2018400
2020-05-14,1333.520020,1357.369995,1323.300049,1356.859985,1356.859985,1833000
2020-05-15,1348.260010,1374.579956,1339.000000,1373.060059,1373.060059,2077200
2020-05-18,1361.579956,1392.760010,1354.199951,1385.180054,1385.180054,2356400
2020-05-19,1385.479980,1392.489990,1373.760010,1374.400024,1374.400024,1579300
2020-05-20,1389.160034,1412.030029,1387.420044,1409.160034,1409.160034,1913100
2020-05-21,1410.989990,1416.459961,1394.390015,1406.750000,1406.750000,1544700
2020-05-22,1403.900024,1417.000000,1395.949951,1413.239990,1413.239990,1427200
2020-05-26,1441.959961,1445.109985,1419.400024,1421.369995,1421.369995,2229500
2020-05-27,1420.000000,1425.349976,1394.599976,1420.280029,1420.280029,1584200
2020-05-28,1400.000000,1444.459961,1399.079956,1418.239990,1418.239990,1758500
2020-05-29,1420.430054,1436.729980,1415.979980,1433.520020,1433.520020,1852200
2020-06-01,1425.699951,1441.579956,1422.280029,1434.869995,1434.869995,1258100
