date_time,temp,rain_1h,snow_1h,clouds_all,traffic_volume
2016-09-29 17:00:00,291.75,0.0,0,0,5551.0
2016-09-29 18:00:00,290.36,0.0,0,0,4132.0
2016-09-29 19:00:00,287.86,0.0,0,0,3435.0
2016-09-29 20:00:00,285.91,0.0,0,0,2765.0
2016-09-29 21:00:00,284.31,0.0,0,0,2443.0
2016-09-29 22:00:00,284.37,0.0,0,0,2076.0
2016-09-29 23:00:00,284.53,0.0,0,0,1116.0
2016-09-30 00:00:00,284.26,0.0,0,0,660.0
2016-09-30 01:00:00,283.99,0.0,0,0,384.0
2016-09-30 02:00:00,283.17,0.0,0,0,281.0
2016-09-30 03:00:00,282.43,0.0,0,0,395.0
2016-09-30 04:00:00,282.87,0.0,0,0,810.0
2016-09-30 05:00:00,283.23,0.0,0,0,2588.0
2016-09-30 06:00:00,283.02,0.0,0,0,5522.0
2016-09-30 07:00:00,283.17,0.0,0,0,6301.0
2016-09-30 08:00:00,283.68,0.0,0,0,5267.0
2016-09-30 09:00:00,284.03,0.0,0,0,4692.0
2016-09-30 10:00:00,284.54,0.0,0,0,4383.0
2016-09-30 11:00:00,286.93,0.0,0,0,4607.0
2016-09-30 12:00:00,288.83,0.0,0,0,4718.0
2016-09-30 13:00:00,291.58,0.0,0,0,4443.0
2016-09-30 14:00:00,293.54,0.0,0,8,4980.0
2016-09-30 15:00:00,294.43,0.0,0,8,5183.0
2016-09-30 16:00:00,294.47,0.0,0,8,5756.0
2016-09-30 17:00:00,293.16,0.0,0,24,5028.0
2016-09-30 18:00:00,292.06,0.0,0,24,4540.0
2016-09-30 19:00:00,289.84,0.0,0,24,3593.0
2016-09-30 20:00:00,288.59,0.0,0,36,2947.0
2016-09-30 21:00:00,287.93,0.0,0,36,3722.0
2016-09-30 22:00:00,287.37,0.0,0,36,2442.0
2016-09-30 23:00:00,286.61,0.0,0,20,1727.0
2016-10-01 00:00:00,286.22,0.0,0,20,1195.0
2016-10-01 01:00:00,285.6,0.0,0,20,776.0
2016-10-01 02:00:00,285.49,0.0,0,56,666.0
2016-10-01 03:00:00,284.59,0.0,0,56,448.0
2016-10-01 04:00:00,284.26,0.0,0,56,512.0
2016-10-01 05:00:00,284.14,0.0,0,24,958.0
2016-10-01 06:00:00,283.95,0.0,0,24,1655.0
2016-10-01 07:00:00,283.86,0.0,0,24,2535.0
2016-10-01 08:00:00,284.15,0.0,0,20,3462.0
2016-10-01 09:00:00,285.09,0.0,0,0,3758.0
2016-10-01 10:00:00,285.8,0.0,0,0,4089.0
2016-10-01 11:00:00,287.46,0.0,0,0,4432.0
2016-10-01 12:00:00,291.29,0.0,0,12,4557.0
2016-10-01 13:00:00,293.8,0.0,0,12,4421.0
2016-10-01 14:00:00,294.8,0.0,0,12,4289.0
2016-10-01 15:00:00,295.51,0.0,0,0,4361.0
2016-10-01 16:00:00,298.03,0.0,0,0,4109.0
2016-10-01 17:00:00,294.26,0.0,0,0,3927.0
2016-10-01 18:00:00,293.01,0.0,0,0,3800.0
2016-10-01 19:00:00,290.55,0.0,0,0,3434.0
2016-10-01 20:00:00,288.6,0.0,0,0,2937.0
2016-10-01 21:00:00,287.76,0.0,0,0,2787.0
2016-10-01 22:00:00,288.15,0.0,0,0,2981.0
2016-10-01 23:00:00,285.69,0.0,0,0,2165.0
2016-10-02 00:00:00,285.8,0.0,0,32,1794.0
2016-10-02 01:00:00,284.75,0.0,0,32,776.0
2016-10-02 02:00:00,284.25,0.0,0,32,666.0
2016-10-02 03:00:00,283.75,0.0,0,8,413.0
2016-10-02 04:00:00,283.27,0.0,0,8,380.0
2016-10-02 05:00:00,282.87,0.0,0,8,550.0
2016-10-02 06:00:00,282.55,0.0,0,0,910.0
2016-10-02 07:00:00,282.3,0.0,0,0,1324.0
2016-10-02 08:00:00,283.01,0.0,0,0,2008.0
2016-10-02 09:00:00,284.11,0.0,0,0,2734.0
2016-10-02 10:00:00,286.88,0.0,0,0,3592.0
2016-10-02 11:00:00,290.7,0.0,0,0,3882.0
2016-10-02 12:00:00,294.52,0.0,0,0,3962.0
2016-10-02 13:00:00,296.44,0.0,0,0,4044.0
2016-10-02 14:00:00,296.68,0.0,0,0,4028.0
2016-10-02 15:00:00,296.8,0.0,0,8,4043.0
2016-10-02 16:00:00,298.49,0.0,0,8,4335.0
2016-10-02 17:00:00,295.59,0.0,0,8,4397.0
2016-10-02 18:00:00,293.82,0.0,0,0,3944.0
